"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2024","346.53","345.64","346.64","345.64","11.85K","0.26%"
"04/08/2024","345.62","346.15","346.29","345.40","12.70K","-0.16%"
"04/03/2024","346.18","345.88","346.30","345.10","17.34K","0.09%"
"04/02/2024","345.87","345.76","345.98","345.26","16.45K","0.06%"
"04/01/2024","345.68","344.43","345.76","344.43","13.98K","0.42%"
"03/29/2024","344.24","343.48","344.26","342.71","14.94K","0.23%"
"03/28/2024","343.44","342.85","344.52","342.85","14.46K","0.15%"
"03/27/2024","342.93","344.22","344.37","342.92","12.25K","-0.39%"
"03/26/2024","344.26","344.78","345.14","343.52","13.90K","-0.19%"
"03/25/2024","344.91","345.38","346.09","344.75","11.92K","-0.16%"
"03/22/2024","345.46","346.36","346.41","344.91","11.65K","-0.27%"
"03/21/2024","346.40","346.04","346.63","345.94","11.20K","0.12%"
"03/20/2024","346.00","345.06","346.15","344.73","14.70K","0.26%"
"03/19/2024","345.09","344.90","345.66","344.74","14.16K","0.02%"
"03/18/2024","345.01","343.91","345.09","343.87","13.03K","0.35%"
"03/15/2024","343.80","342.87","343.90","342.59","9.10K","0.26%"
"03/14/2024","342.91","343.01","343.51","342.50","11.47K","-0.05%"
"03/13/2024","343.08","342.95","343.50","342.46","12.97K","0.02%"
"03/12/2024","343.00","343.64","343.88","342.45","13.07K","-0.19%"
"03/11/2024","343.67","342.91","343.79","342.44","13.75K","0.22%"
"03/08/2024","342.91","342.40","342.94","342.30","13.28K","0.15%"
"03/07/2024","342.39","342.57","343.58","342.35","11.40K","-0.07%"
"03/06/2024","342.62","342.21","343.25","341.84","13.33K","0.10%"
"03/05/2024","342.28","343.29","343.43","342.19","12.41K","-0.32%"
"03/04/2024","343.36","344.17","344.24","342.46","14.58K","-0.10%"
"03/01/2024","343.71","343.14","344.11","342.79","15.14K","0.20%"
"02/29/2024","343.03","340.93","343.15","340.88","15.38K","0.52%"
"02/28/2024","341.25","344.14","344.61","341.17","15.17K","-0.84%"
"02/27/2024","344.13","343.31","344.20","342.80","13.28K","0.22%"
"02/26/2024","343.36","344.79","345.25","342.88","11.58K","-0.38%"
"02/23/2024","344.68","344.32","345.21","343.63","13.01K","0.10%"
"02/22/2024","344.35","343.42","344.47","342.84","17.56K","0.28%"
"02/21/2024","343.39","341.12","344.92","340.86","18.13K","0.59%"
"02/20/2024","341.37","338.90","341.45","338.30","16.24K","0.75%"
"02/19/2024","338.84","338.34","339.43","337.77","14.63K","0.36%"
